filename,contract_type,split
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.txt,Content License Agreement,dev
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.txt,Content License Agreement,dev
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.txt,Distributor Agreement,dev
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,Outsourcing Agreement,dev
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.txt,Co-Branding Agreement,holdout
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.txt,Manufacturing Agreement,holdout
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.txt,Distributor Agreement,dev
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.txt,Service Agreement,dev
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.txt,Co-Branding Agreement,dev
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.txt,Co-Branding Agreement,dev
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.txt,Reseller Agreement,dev
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement,holdout
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.txt,Franchise Agreement,dev
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.txt,Transportation Agreement,dev
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.txt,Promotion Agreement,holdout
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,holdout
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.txt",Consulting Agreement,holdout
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.txt",Intellectual Property Agreement,dev
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1.txt",Other,dev
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.txt",Other,dev
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.txt,Manufacturing Agreement,dev
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.txt",Distributor Agreement,dev
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.txt,Other,holdout
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,holdout
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.txt,Reseller Agreement,dev
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,dev
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.txt,Co-Branding Agreement,holdout
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.txt,Endorsement Agreement,dev
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,Development Agreement,dev
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.txt,Content License Agreement1,dev
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.txt,Content License Agreement2,dev
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.txt,Endorsement Agreement,dev
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.txt,Affiliate Agreement,dev
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.txt,Development Agreement,dev
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.txt,Supply Agreement,dev
"Loop Industries, Inc. - Marketing Agreement.txt",Marketing Agreement,holdout
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.txt,Collaboration Agreement,holdout
"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,holdout
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.txt",Endorsement Agreement,holdout
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.txt,Transportation Services Agreement,dev
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.txt",Consulting Agreement,holdout
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.txt,Supply Agreement,dev
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.txt",Cooperation Agreement,dev
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.txt,Other,dev
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,holdout
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.txt",Promotion Agreement,holdout
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,dev
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,holdout
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.txt,Transportation Services Agreement,dev
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.txt,Franchise Agreement,holdout
MSCIINC_02_28_2008-EX-10.10-.txt,Other,dev
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.txt,Other,dev
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.txt",Other,dev
"MetLife, Inc. - Remarketing Agreement.txt",Remarketing Agreement,dev
Microgenics Corporation - Collaborative Development and Commercialization Agreement.txt,Other,dev
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.txt,Content License Agreement,dev
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .txt,Other,dev
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,Trademark License Agreement,dev
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.txt,Co-Branding Agreement,dev
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.txt,Co-Branding Agreement,dev
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,dev
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.txt,Joint Filing Agreement,dev
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.txt,Distributor Agreement,dev
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,Amendment,dev
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.txt,Distributor Agreement,dev
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.txt",Other,holdout
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR.txt",Other,dev
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",Distributor Agreement,dev
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.txt,Maintenance Agreement,holdout
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,dev
NUVEEN - REMARKETING AGREEMENT.txt,Remarketing Agreement,holdout
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.txt,Service Agreement,dev
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.txt,Endorsement Agreement,dev
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.txt,Co-Branding Agreement,dev
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.txt,Supply Agreement,dev
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.txt,Development Agreement,dev
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.txt,Trademark License Agreement,dev
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.txt",Services Agreement,holdout
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.txt",Outsourcing Agreement,holdout
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,holdout
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.txt,Other,dev
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.txt,Other,holdout
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.txt",Reseller Agreement,holdout
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.txt",Other,dev
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.txt,Promotion Agreement,dev
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,dev
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.txt,Service Agreement,holdout
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.txt",Distributor Agreement,dev
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,holdout
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1.txt",Other,holdout
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,holdout
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .txt",Other,dev
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.txt,Consulting Agreement,holdout
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.txt",Other,holdout
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.txt,Services Agreement,dev
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).txt,Other,dev
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,holdout
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement,holdout
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.txt,Other,holdout
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.txt,Supply Agreement,holdout
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.txt,Content License Agreement,dev
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.txt,Trademark License Agreement,dev
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.txt,Endorsement Agreement,dev
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.txt,Co-Branding Agreement,dev
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.txt,Outsourcing Agreement,dev
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.txt,Hosting Agreement,dev
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.txt,Other,holdout
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.txt,Other,holdout
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.txt,Other,holdout
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.txt,Other,dev
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,Other,dev
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,Transportation Agreement,holdout
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.txt,Endorsement Agreement,dev
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.txt,Franchise Agreement1,dev
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.txt,Franchise Agreement3,dev
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.txt,Endorsement Agreement,dev
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.txt,Development Agreement,dev
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.txt,Content License Agreement,dev
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.txt,Outsourcing Agreement,dev
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.txt,Other,dev
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2.txt,Other,dev
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.txt,Distributor Agreement,holdout
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement.txt,Other,dev
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.txt,Endorsement Agreement,dev
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Joint Filing Agreement,holdout
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.txt,Cooperation Agreement,dev
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.txt,Other,dev
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.txt,Hosting Agreement,holdout
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.txt,License And Hosting Agreement,dev
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,Strategic Alliance Agreement,dev
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.txt,Service Agreement,dev
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,Joint Filing Agreement,dev
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,holdout
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.txt,Co-Branding Agreement,dev
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.txt,Co-Branding Agreement,dev
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.txt,Transportation Agreement,dev
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.txt,Intellectual Property Agreement,holdout
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.txt,Development Agreement,dev
"Reinsurance Group of America, Incorporated - A_R REMARKETING  AGREEMENT.txt",Other,dev
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.txt,Content License Agreement,dev
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.txt,Development Agreement,holdout
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.txt,Supply Agreement,holdout
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,Service Agreement,dev
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.txt,Franchise Agreement,dev
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.txt,Development Agreement,dev
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.txt,Operations And Maintenance Agreement,dev
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.txt,Services Agreement,holdout
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.txt,Supply Agreement,holdout
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT.txt,Other,holdout
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.txt,Collaboration Agreement,dev
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.txt,Unconditional Capital Maintenance Agreement,dev
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.txt,Software License And Maintenance Agreement,dev
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.txt",Strategic Alliance Agreement,dev
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.txt,Consulting Agreement,dev
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.txt,Other,dev
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.txt,Other,dev
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.txt",Services Agreement,dev
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.txt,Software License And Maintenance Agreement,dev
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.txt,Consulting Agreement,dev
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.txt",Operations And Maintenance Agreement,holdout
"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.txt",Other,dev
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.txt",Cooperation Agreement,holdout
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,dev
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,holdout
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.txt,Construction And Maintenance Agreement,holdout
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.txt,Cooperation Agreement,holdout
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",Strategic Alliance Agreement,dev
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.txt,Software License And Maintenance Agreement,holdout
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.txt,Maintenance Agreement,dev
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.txt,Reseller Agreement,dev
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.txt,Distributor Agreement,holdout
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,Other,dev
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.txt,Other,dev
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.txt,Distributor Agreement,dev
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.txt,Promotion Agreement,dev
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT.txt",Marketing Agreement,dev
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.txt,Franchise Agreement,dev
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.txt,Distributor Agreement,dev
"Sonos, Inc. - Manufacturing Agreement .txt",Manufacturing Agreement,dev
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.txt,Franchise Agreement1,dev
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.txt,Other,dev
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.txt,Franchise Agreement3,holdout
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.txt,Other,dev
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.txt,Affiliate Agreement,holdout
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.txt,Distributor Agreement,dev
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.txt,Co-Branding Agreement,dev
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.txt,Affiliate Agreement,holdout
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.txt,Service Agreement,dev
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.txt",Joint Filing Agreement,dev
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement,dev
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.txt,Construction And Maintenance Agreement,dev
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.txt,Other,holdout
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.txt",Service Agreement,dev
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement,dev
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.txt,Services Agreement,dev
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement,dev
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.txt,Outsourcing Agreement,dev
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.txt,Other,dev
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.txt,Development Agreement,dev
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.txt,Cooperation Agreement,dev
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.txt",Strategic Alliance Agreement,dev
